Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -56, 4.466952054322987, 920.4, 4, 0
E200 470F C1A0 6023 A8E6 010F, -49, 1.214912784005428, 920.4, 6, 0
E200 470F C1A0 6023 A8E6 010F, -56.5, 4.270602513473625, 920.4, 4, 1
E200 470F C1A0 6023 A8E6 010F, -50, 0.8897088569736719, 920.4, 6, 1
E200 470F C1A0 6023 A8E6 010F, -56.5, 4.430136515413731, 920.4, 4, 2
E200 470F C1A0 6023 A8E6 010F, -49, 1.1351457830353744, 920.4, 6, 2
E200 470F C1A0 6023 A8E6 010F, -56, 4.166291819897402, 920.4, 4, 3
E200 470F C1A0 6023 A8E6 010F, -49.5, 0.8835729338221293, 920.4, 6, 3
E200 470F C1A0 6023 A8E6 010F, -56.5, 4.09266074207889, 920.4, 4, 4
E200 470F C1A0 6023 A8E6 010F, -50, 0.6565437772150544, 920.4, 6, 4
E200 470F C1A0 6023 A8E6 010F, -56.5, 4.037437433715008, 920.4, 4, 5
E200 470F C1A0 6023 A8E6 010F, -50, 0.7240389318820226, 920.4, 6, 5
E200 470F C1A0 6023 A8E6 010F, -56.5, 4.049709280018092, 920.4, 4, 6
E200 470F C1A0 6023 A8E6 010F, -50, 0.6933593161243098, 920.4, 6, 6
E200 470F C1A0 6023 A8E6 010F, -57, 4.0987966652304335, 920.4, 4, 7
E200 470F C1A0 6023 A8E6 010F, -50, 0.7301748550335652, 920.4, 6, 7
E200 470F C1A0 6023 A8E6 010F, -57, 4.031301510563465, 920.4, 4, 8
E200 470F C1A0 6023 A8E6 010F, -49.5, 0.6994952392758523, 920.4, 6, 8
E200 470F C1A0 6023 A8E6 010F, -57, 4.074252972624263, 920.4, 4, 9
E200 470F C1A0 6023 A8E6 010F, -50, 0.7301748550335652, 920.4, 6, 9
E200 470F C1A0 6023 A8E6 010F, -56.5, 4.09266074207889, 920.4, 4, 10
E200 470F C1A0 6023 A8E6 010F, -50, 0.6933593161243098, 920.4, 6, 10
