Tag ID,RSSI,Phase,Frequency,Antenna No,Created At
9990 1912 9990 9990 9990 0103, -63, 5.773903685601553, 920.4, 1, 12/8/2022 4:09:15 PM
9990 1912 9990 9990 9990 0103, -66, 5.626641529964532, 920.4, 1, 12/8/2022 4:09:16 PM
9990 1912 9990 9990 9990 0105, -60, 1.6812429435226628, 920.4, 1, 12/8/2022 4:09:16 PM
