Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -61.5, 4.6448938257177215, 920.4, 6, 0
E200 470F C1A0 6023 A8E6 010F, -58, 2.9943304979527716, 920.4, 4, 0
E200 470F C1A0 6023 A8E6 010F, -62.5, 4.381049130201391, 920.4, 6, 1
E200 470F C1A0 6023 A8E6 010F, -58, 2.9391071895888885, 920.4, 4, 1
E200 470F C1A0 6023 A8E6 010F, -61, 4.638757902566179, 920.4, 6, 2
E200 470F C1A0 6023 A8E6 010F, -57, 3.2213596545598464, 920.4, 4, 2
E200 470F C1A0 6023 A8E6 010F, -61, 4.620350133111551, 920.4, 6, 3
E200 470F C1A0 6023 A8E6 010F, -57, 3.3072625786814425, 920.4, 4, 3
E200 470F C1A0 6023 A8E6 010F, -60.5, 4.491495746929157, 920.4, 6, 4
E200 470F C1A0 6023 A8E6 010F, -57, 3.3502140407422405, 920.4, 4, 4
E200 470F C1A0 6023 A8E6 010F, -60.5, 4.669437518323892, 920.4, 6, 5
E200 470F C1A0 6023 A8E6 010F, -57, 3.429981041712294, 920.4, 4, 5
E200 470F C1A0 6023 A8E6 010F, -60.5, 4.614214209960009, 920.4, 6, 6
E200 470F C1A0 6023 A8E6 010F, -57, 3.429981041712294, 920.4, 4, 6
E200 470F C1A0 6023 A8E6 010F, -60.5, 4.589670517353839, 920.4, 6, 7
E200 470F C1A0 6023 A8E6 010F, -57, 3.442252888015379, 920.4, 4, 7
E200 470F C1A0 6023 A8E6 010F, -60, 4.632621979414636, 920.4, 6, 8
E200 470F C1A0 6023 A8E6 010F, -57, 3.393165502803038, 920.4, 4, 8
E200 470F C1A0 6023 A8E6 010F, -59.5, 4.693981210930062, 920.4, 6, 9
E200 470F C1A0 6023 A8E6 010F, -56.5, 3.479068426924634, 920.4, 4, 9
E200 470F C1A0 6023 A8E6 010F, -60, 4.749204519293945, 920.4, 6, 10
E200 470F C1A0 6023 A8E6 010F, -56.5, 3.6692820446224537, 920.4, 4, 10
E200 470F C1A0 6023 A8E6 010F, -59.5, 4.767612288748572, 920.4, 6, 11
E200 470F C1A0 6023 A8E6 010F, -56, 3.6263305825616556, 920.4, 4, 11
E200 470F C1A0 6023 A8E6 010F, -60, 4.804427827657828, 920.4, 6, 12
E200 470F C1A0 6023 A8E6 010F, -56, 3.497476196379262, 920.4, 4, 12
E200 470F C1A0 6023 A8E6 010F, -59, 4.822835597112456, 920.4, 6, 13
E200 470F C1A0 6023 A8E6 010F, -56, 3.448388811166921, 920.4, 4, 13
E200 470F C1A0 6023 A8E6 010F, -66, 4.049709280018092, 920.4, 6, 14
E200 470F C1A0 6023 A8E6 010F, -56, 2.9636508821950587, 920.4, 4, 14
E200 470F C1A0 6023 A8E6 010F, -67, 4.025165587411922, 920.4, 6, 15
E200 470F C1A0 6023 A8E6 010F, -58, 3.0802334220743677, 920.4, 4, 15
