Tag ID,RSSI,Phase,Frequency,Antenna No.,Data Number
E200 470F C1A0 6023 A8E6 010F, -44.5, 5.043728830567988, 920.4, 4, 0
E200 470F C1A0 6023 A8E6 010F, -55.5, 6.031612457966341, 920.4, 6, 0
E200 470F C1A0 6023 A8E6 010F, -44.5, 5.0253210611133605, 920.4, 4, 1
E200 470F C1A0 6023 A8E6 010F, -56, 6.0991076126333095, 920.4, 6, 1
E200 470F C1A0 6023 A8E6 010F, -44.5, 5.031456984264903, 920.4, 4, 2
E200 470F C1A0 6023 A8E6 010F, -56, 6.166602767300278, 920.4, 6, 2
E200 470F C1A0 6023 A8E6 010F, -44.5, 5.037592907416445, 920.4, 4, 3
E200 470F C1A0 6023 A8E6 010F, -56.5, 6.037748381117884, 920.4, 6, 3
E200 470F C1A0 6023 A8E6 010F, -44.5, 5.037592907416445, 920.4, 4, 4
E200 470F C1A0 6023 A8E6 010F, -56, 5.970253226450915, 920.4, 6, 4
E200 470F C1A0 6023 A8E6 010F, -44.5, 5.031456984264903, 920.4, 4, 5
E200 470F C1A0 6023 A8E6 010F, -56, 5.982525072754001, 920.4, 6, 5
E200 470F C1A0 6023 A8E6 010F, -45, 5.031456984264903, 920.4, 4, 6
E200 470F C1A0 6023 A8E6 010F, -56, 6.019340611663256, 920.4, 6, 6
E200 470F C1A0 6023 A8E6 010F, -44.5, 5.019185137961818, 920.4, 4, 7
E200 470F C1A0 6023 A8E6 010F, -56, 6.12365130523948, 920.4, 6, 7
E200 470F C1A0 6023 A8E6 010F, -45, 5.0253210611133605, 920.4, 4, 8
E200 470F C1A0 6023 A8E6 010F, -56.5, 5.970253226450915, 920.4, 6, 8
E200 470F C1A0 6023 A8E6 010F, -44.5, 5.031456984264903, 920.4, 4, 9
E200 470F C1A0 6023 A8E6 010F, -56, 6.007068765360171, 920.4, 6, 9
E200 470F C1A0 6023 A8E6 010F, -45, 5.0253210611133605, 920.4, 4, 10
E200 470F C1A0 6023 A8E6 010F, -56, 6.013204688511713, 920.4, 6, 10
E200 470F C1A0 6023 A8E6 010F, -45, 5.019185137961818, 920.4, 4, 11
E200 470F C1A0 6023 A8E6 010F, -56, 6.086835766330224, 920.4, 6, 11
E200 470F C1A0 6023 A8E6 010F, -44.5, 5.043728830567988, 920.4, 4, 12
E200 470F C1A0 6023 A8E6 010F, -56.5, 6.0991076126333095, 920.4, 6, 12
E200 470F C1A0 6023 A8E6 010F, -44.5, 5.037592907416445, 920.4, 4, 13
E200 470F C1A0 6023 A8E6 010F, -56, 5.982525072754001, 920.4, 6, 13
