Tag ID,RSSI,Phase,Frequency,Antenna No.,Created At
2020 43CB 43A2 198A 543D 2A8D, -54.5, 0.4295146206079795, 920.4, 4, 2022/12/19 19:31:37
2200 43CB 43A1 CD8A 543D 295D, -62.5, 5.565282298449106, 920.4, 1, 2022/12/19 19:31:37
2200 43CB 43A1 E48A 543D 29B9, -65, 1.0246991663076084, 920.4, 1, 2022/12/19 19:31:37
E200 470F 45D0 6023 A129 010E, -65, 4.184699589352029, 920.4, 1, 2022/12/19 19:31:37
E200 470F 45D0 6023 A129 010E, -57.5, 1.1474176293384597, 920.4, 4, 2022/12/19 19:31:37
2200 43CB 43A1 D68A 543D 2981, -65, 0.030679615757712823, 920.4, 1, 2022/12/19 19:31:37
9990 1912 9990 9990 9990 0131, -60, 4.970097752749477, 920.4, 1, 2022/12/19 19:31:37
9990 1912 9990 9990 9990 0131, -61.5, 0.47860200582032003, 920.4, 6, 2022/12/19 19:31:38
2020 43CB 43A1 E88A 543D 29C9, -60, 4.9823695990525625, 920.4, 1, 2022/12/19 19:31:37
2020 43CB 43A1 E88A 543D 29C9, -60, 0.05522330836388308, 920.4, 4, 2022/12/19 19:31:38
5538 0000 4180 0400 0034 000B, -70, 4.454680208019902, 920.4, 6, 2022/12/19 19:31:40
9990 1912 9990 9990 9990 0137, -65.5, 2.9697868053466014, 920.4, 6, 2022/12/19 19:31:40
9990 1912 9990 9990 9990 0125, -59, 0.7485826244881929, 920.4, 6, 2022/12/19 19:31:40
9990 1912 9990 9990 9990 0113, -66.5, 6.129787228391022, 920.4, 4, 2022/12/19 19:31:40
9990 1912 9990 9990 9990 0107, -59, 6.2463697682703305, 920.4, 4, 2022/12/19 19:31:39
7B49, -72, 0.803805932852076, 920.4, 4, 2022/12/19 19:31:40
5538 0000 4180 0400 0034 0007, -66, 2.8532042654672924, 920.4, 4, 2022/12/19 19:31:40
2200 0000 42C4 0644 0010 0001, -58, 2.030990563160589, 920.4, 4, 2022/12/19 19:31:40
2200 4444 B4D0 6014 04E6 3739, -64.5, 1.9266798695843652, 920.4, 4, 2022/12/19 19:31:40
5598 0000 4004 0004 000C 0001, -56.5, 5.227806525114265, 920.4, 4, 2022/12/19 19:31:40
2200 4444 A450 6014 04E6 3731, -58.5, 0.3988350048502667, 920.4, 4, 2022/12/19 19:31:40
2200 4444 A450 6014 04E6 3731, -62, 3.2029518851052186, 920.4, 6, 2022/12/19 19:31:40
2020 43CB 43A1 E38A 543D 29B5, -68.5, 6.025476534814799, 920.4, 1, 2022/12/19 19:31:39
2020 43CB 43A1 E38A 543D 29B5, -66.5, 5.583690067903734, 920.4, 4, 2022/12/19 19:31:40
2020 0000 4000 0000 0000 0012, -67, 0.4049709280018093, 920.4, 1, 2022/12/19 19:31:39
2200 43CB 43A1 E48A 543D 29B9, -67, 1.012427320004523, 920.4, 1, 2022/12/19 19:31:39
2200 43CB 43A1 CD8A 543D 295D, -62, 2.5034566458293663, 920.4, 1, 2022/12/19 19:31:39
E200 4710 6990 6026 B9C9 0110, -64.5, 0.42337869745643697, 920.4, 1, 2022/12/19 19:31:39
2200 43CB 43A1 D68A 543D 2981, -65, 0.006135923151542565, 920.4, 1, 2022/12/19 19:31:39
2020 43CB 43A1 E88A 543D 29C9, -60.5, 4.933282213840222, 920.4, 1, 2022/12/19 19:31:39
2020 43CB 43A1 E88A 543D 29C9, -60, 3.2459033471660166, 920.4, 4, 2022/12/19 19:31:40
2020 43CB 43A2 198A 543D 2A8D, -52.5, 5.332117218690489, 920.4, 1, 2022/12/19 19:31:39
2020 43CB 43A2 198A 543D 2A8D, -54.5, 0.34974761963792617, 920.4, 4, 2022/12/19 19:31:40
2020 43CB 43A1 E78A 543D 29C5, -58, 5.663457068873787, 920.4, 1, 2022/12/19 19:31:39
2020 43CB 43A1 E78A 543D 29C5, -61, 1.6321555583103222, 920.4, 6, 2022/12/19 19:31:40
9990 1912 9990 9990 9990 0131, -60, 5.013049214810275, 920.4, 1, 2022/12/19 19:31:39
9990 1912 9990 9990 9990 0131, -60, 0.47860200582032003, 920.4, 6, 2022/12/19 19:31:40
E200 470F 45D0 6023 A129 010E, -61.5, 3.5036121195308043, 920.4, 1, 2022/12/19 19:31:39
E200 470F 45D0 6023 A129 010E, -56, 0.8160777791551611, 920.4, 4, 2022/12/19 19:31:40
5538 0000 4180 0400 0034 000B, -70, 4.473087977474529, 920.4, 6, 2022/12/19 19:31:42
9990 1912 9990 9990 9990 0125, -59.5, 0.803805932852076, 920.4, 6, 2022/12/19 19:31:42
9990 1912 9990 9990 9990 0137, -65, 2.859340188618835, 920.4, 6, 2022/12/19 19:31:42
7B49, -71, 3.9269908169872414, 920.4, 4, 2022/12/19 19:31:41
2020 43CB 43A1 E78A 543D 29C5, -71.5, 0.2638446955163303, 920.4, 4, 2022/12/19 19:31:42
2020 43CB 43A1 E78A 543D 29C5, -61, 1.6873788666742053, 920.4, 6, 2022/12/19 19:31:42
2200 43CB 43A1 DF8A 543D 29A5, -59.5, 4.0987966652304335, 920.4, 4, 2022/12/19 19:31:42
5598 0000 4004 0004 000C 0001, -56.5, 5.240078371417351, 920.4, 4, 2022/12/19 19:31:42
2200 4444 A450 6014 04E6 3731, -58, 0.39269908169872414, 920.4, 4, 2022/12/19 19:31:42
2200 4444 A450 6014 04E6 3731, -62.5, 3.08636934522591, 920.4, 6, 2022/12/19 19:31:42
5538 0000 4180 0400 0034 0007, -65.5, 3.000466421104314, 920.4, 4, 2022/12/19 19:31:42
