Tag ID,RSSI,Phase,Frequency,Antenna No.,Created At
2020 0000 4000 0000 0000 0012, -61.5, 2.478912953223196, 920.4, 1, 2022/12/19 18:19:22
2020 43CB 43A1 E38A 543D 29B5, -65.5, 5.994796919057086, 920.4, 1, 2022/12/19 18:19:22
2020 43CB 43A1 E38A 543D 29B5, -71, 5.749359992995383, 920.4, 4, 2022/12/19 18:19:23
2020 43CB 43A1 E78A 543D 29C5, -56.5, 5.448699758569798, 920.4, 1, 2022/12/19 18:19:22
2020 43CB 43A1 E78A 543D 29C5, -66, 6.234097921967246, 920.4, 4, 2022/12/19 18:19:23
2020 43CB 43A1 E78A 543D 29C5, -62, 1.748738098189631, 920.4, 6, 2022/12/19 18:19:23
2200 43CB 43A1 CD8A 543D 295D, -55.5, 2.110757564130642, 920.4, 1, 2022/12/19 18:19:22
2200 43CB 43A1 CD8A 543D 295D, -64.5, 0.7424467013366504, 920.4, 4, 2022/12/19 18:19:23
E200 470F 45D0 6023 A129 010E, -56, 4.344233591292136, 920.4, 1, 2022/12/19 18:19:22
E200 470F 45D0 6023 A129 010E, -58.5, 4.430136515413731, 920.4, 4, 2022/12/19 18:19:23
E200 470F 45D0 6023 A129 010E, -61, 3.822680123411018, 920.4, 6, 2022/12/19 18:19:23
2200 43CB 43A1 D68A 543D 2981, -61, 5.872078456026235, 920.4, 1, 2022/12/19 18:19:22
9990 1912 9990 9990 9990 0125, -59.5, 1.2333205534600555, 920.4, 6, 2022/12/19 18:19:25
5538 0000 4180 0440 0034 0007, -72, 5.540738605842936, 920.4, 4, 2022/12/19 18:19:25
7B49, -67, 5.7616318392984684, 920.4, 4, 2022/12/19 18:19:25
2200 4444 B4D0 6014 04E6 3739, -64.5, 5.743224069843841, 920.4, 4, 2022/12/19 18:19:25
9990 1912 9990 9990 9990 0113, -57.5, 5.970253226450915, 920.4, 4, 2022/12/19 18:19:25
2200 0004 A7E0 6014 04E6 376A, -64, 4.129476280988146, 920.4, 4, 2022/12/19 18:19:25
2200 4444 A450 6014 04E6 3731, -57.5, 5.724816300389213, 920.4, 4, 2022/12/19 18:19:25
2200 4444 A450 6014 04E6 3731, -60.5, 2.742757648739526, 920.4, 6, 2022/12/19 18:19:25
5538 0000 4180 0400 0034 0007, -66, 2.3071071049800045, 920.4, 4, 2022/12/19 18:19:25
9990 1912 9990 9990 9990 0107, -55, 1.0062913968529805, 920.4, 4, 2022/12/19 18:19:25
2020 43CB 43A1 E38A 543D 29B5, -66.5, 6.037748381117884, 920.4, 1, 2022/12/19 18:19:24
2020 43CB 43A1 E38A 543D 29B5, -69, 5.822991070813893, 920.4, 4, 2022/12/19 18:19:25
5538 0000 4180 0440 0034 0004, -71.5, 3.56497135104623, 920.4, 1, 2022/12/19 18:19:24
2200 43CB 43A1 E98A 543D 29CD, -66, 3.6017868899554855, 920.4, 1, 2022/12/19 18:19:24
E200 4710 6990 6026 B9C9 0110, -61, 0.23316507975861744, 920.4, 1, 2022/12/19 18:19:24
5538 0000 4180 0400 0034 000B, -71.5, 0.07976700097005335, 920.4, 1, 2022/12/19 18:19:24
5538 0000 4180 0400 0034 000B, -66.5, 4.1417481272912315, 920.4, 4, 2022/12/19 18:19:25
2020 43CB 43A1 E88A 543D 29C9, -60.5, 4.331961744989051, 920.4, 1, 2022/12/19 18:19:24
2020 43CB 43A1 E88A 543D 29C9, -61.5, 1.846912868614312, 920.4, 4, 2022/12/19 18:19:25
2200 43CB 43A1 E48A 543D 29B9, -68, 6.160466844148735, 920.4, 1, 2022/12/19 18:19:24
2200 43CB 43A1 E48A 543D 29B9, -67.5, 1.2640001692177683, 920.4, 4, 2022/12/19 18:19:25
5598 0000 4004 0004 000C 0001, -54.5, 5.405748296509, 920.4, 1, 2022/12/19 18:19:24
2200 43CB 43A1 CD8A 543D 295D, -55.5, 2.1046216409791, 920.4, 1, 2022/12/19 18:19:24
2200 43CB 43A1 CD8A 543D 295D, -65, 0.8651651643675016, 920.4, 4, 2022/12/19 18:19:25
2200 43CB 43A1 DF8A 543D 29A5, -64.5, 0.7240389318820226, 920.4, 1, 2022/12/19 18:19:24
2200 43CB 43A1 DF8A 543D 29A5, -59.5, 4.264466590322082, 920.4, 4, 2022/12/19 18:19:25
2200 43CB 43A1 D68A 543D 2981, -61.5, 5.853670686571607, 920.4, 1, 2022/12/19 18:19:24
